regime,alt_km,delta,sigma_h_km,sigma_v_km,kappa_h,advection_ms,patch_air_mass_kg,heating_fraction,E_thermal_min_J,tau_diff_s,tau_adv_s,transport_survivable_1h,classification
low,300,20.0,200.0,30.0,1000000.0,0.0,119319.4045034507,0.9523809523809523,11409207821.091858,20000.0,inf,True,thermodynamically_conceivable
low,300,20.0,200.0,30.0,1000000.0,100.0,119319.4045034507,0.9523809523809523,11409207821.091858,20000.0,2000.0,False,transport_limited
low,300,20.0,200.0,30.0,1000000.0,300.0,119319.4045034507,0.9523809523809523,11409207821.091858,20000.0,666.6666666666666,False,transport_limited
low,300,20.0,1000.0,30.0,1000.0,0.0,2982985.1125862673,0.9523809523809523,285230195527.2964,500000000.0,inf,True,thermodynamically_conceivable
low,300,20.0,1000.0,30.0,1000.0,100.0,2982985.1125862673,0.9523809523809523,285230195527.2964,500000000.0,10000.0,True,thermodynamically_conceivable
low,300,20.0,1000.0,30.0,1000.0,300.0,2982985.1125862673,0.9523809523809523,285230195527.2964,500000000.0,3333.3333333333335,False,transport_limited
low,300,20.0,1000.0,30.0,100000.0,0.0,2982985.1125862673,0.9523809523809523,285230195527.2964,5000000.0,inf,True,thermodynamically_conceivable
low,300,20.0,1000.0,30.0,100000.0,100.0,2982985.1125862673,0.9523809523809523,285230195527.2964,5000000.0,10000.0,True,thermodynamically_conceivable
low,300,20.0,1000.0,30.0,100000.0,300.0,2982985.1125862673,0.9523809523809523,285230195527.2964,5000000.0,3333.3333333333335,False,transport_limited
low,300,20.0,1000.0,30.0,1000000.0,0.0,2982985.1125862673,0.9523809523809523,285230195527.2964,500000.0,inf,True,thermodynamically_conceivable
low,300,20.0,1000.0,30.0,1000000.0,100.0,2982985.1125862673,0.9523809523809523,285230195527.2964,500000.0,10000.0,True,thermodynamically_conceivable
low,300,20.0,1000.0,30.0,1000000.0,300.0,2982985.1125862673,0.9523809523809523,285230195527.2964,500000.0,3333.3333333333335,False,transport_limited
low,400,1.0,50.0,30.0,1000.0,0.0,619.0886713690613,0.5,31078251.30272688,1250000.0,inf,True,thermodynamically_conceivable
low,400,1.0,50.0,30.0,1000.0,100.0,619.0886713690613,0.5,31078251.30272688,1250000.0,500.0,False,transport_limited
low,400,1.0,50.0,30.0,1000.0,300.0,619.0886713690613,0.5,31078251.30272688,1250000.0,166.66666666666666,False,transport_limited
low,400,1.0,50.0,30.0,100000.0,0.0,619.0886713690613,0.5,31078251.30272688,12500.0,inf,True,thermodynamically_conceivable
low,400,1.0,50.0,30.0,100000.0,100.0,619.0886713690613,0.5,31078251.30272688,12500.0,500.0,False,transport_limited
low,400,1.0,50.0,30.0,100000.0,300.0,619.0886713690613,0.5,31078251.30272688,12500.0,166.66666666666666,False,transport_limited
low,400,1.0,50.0,30.0,1000000.0,0.0,619.0886713690613,0.5,31078251.30272688,1250.0,inf,False,transport_limited
low,400,1.0,50.0,30.0,1000000.0,100.0,619.0886713690613,0.5,31078251.30272688,1250.0,500.0,False,transport_limited
low,400,1.0,50.0,30.0,1000000.0,300.0,619.0886713690613,0.5,31078251.30272688,1250.0,166.66666666666666,False,transport_limited
low,400,1.0,200.0,30.0,1000.0,0.0,9905.418741904981,0.5,497252020.8436301,20000000.0,inf,True,thermodynamically_conceivable
low,400,1.0,200.0,30.0,1000.0,100.0,9905.418741904981,0.5,497252020.8436301,20000000.0,2000.0,False,transport_limited
low,400,1.0,200.0,30.0,1000.0,300.0,9905.418741904981,0.5,497252020.8436301,20000000.0,666.6666666666666,False,transport_limited
low,400,1.0,200.0,30.0,100000.0,0.0,9905.418741904981,0.5,497252020.8436301,200000.0,inf,True,thermodynamically_conceivable
low,400,1.0,200.0,30.0,100000.0,100.0,9905.418741904981,0.5,497252020.8436301,200000.0,2000.0,False,transport_limited
low,400,1.0,200.0,30.0,100000.0,300.0,9905.418741904981,0.5,497252020.8436301,200000.0,666.6666666666666,False,transport_limited
low,400,1.0,200.0,30.0,1000000.0,0.0,9905.418741904981,0.5,497252020.8436301,20000.0,inf,True,thermodynamically_conceivable
low,400,1.0,200.0,30.0,1000000.0,100.0,9905.418741904981,0.5,497252020.8436301,20000.0,2000.0,False,transport_limited
low,400,1.0,200.0,30.0,1000000.0,300.0,9905.418741904981,0.5,497252020.8436301,20000.0,666.6666666666666,False,transport_limited
low,400,1.0,1000.0,30.0,1000.0,0.0,247635.46854762454,0.5,12431300521.090752,500000000.0,inf,True,thermodynamically_conceivable
low,400,1.0,1000.0,30.0,1000.0,100.0,247635.46854762454,0.5,12431300521.090752,500000000.0,10000.0,True,thermodynamically_conceivable
low,400,1.0,1000.0,30.0,1000.0,300.0,247635.46854762454,0.5,12431300521.090752,500000000.0,3333.3333333333335,False,transport_limited
low,400,1.0,1000.0,30.0,100000.0,0.0,247635.46854762454,0.5,12431300521.090752,5000000.0,inf,True,thermodynamically_conceivable
low,400,1.0,1000.0,30.0,100000.0,100.0,247635.46854762454,0.5,12431300521.090752,5000000.0,10000.0,True,thermodynamically_conceivable
low,400,1.0,1000.0,30.0,100000.0,300.0,247635.46854762454,0.5,12431300521.090752,5000000.0,3333.3333333333335,False,transport_limited
low,400,1.0,1000.0,30.0,1000000.0,0.0,247635.46854762454,0.5,12431300521.090752,500000.0,inf,True,thermodynamically_conceivable
low,400,1.0,1000.0,30.0,1000000.0,100.0,247635.46854762454,0.5,12431300521.090752,500000.0,10000.0,True,thermodynamically_conceivable
low,400,1.0,1000.0,30.0,1000000.0,300.0,247635.46854762454,0.5,12431300521.090752,500000.0,3333.3333333333335,False,transport_limited
low,400,5.0,50.0,30.0,1000.0,0.0,619.0886713690613,0.8333333333333334,51797085.50454481,1250000.0,inf,True,thermodynamically_conceivable
low,400,5.0,50.0,30.0,1000.0,100.0,619.0886713690613,0.8333333333333334,51797085.50454481,1250000.0,500.0,False,transport_limited
low,400,5.0,50.0,30.0,1000.0,300.0,619.0886713690613,0.8333333333333334,51797085.50454481,1250000.0,166.66666666666666,False,transport_limited
low,400,5.0,50.0,30.0,100000.0,0.0,619.0886713690613,0.8333333333333334,51797085.50454481,12500.0,inf,True,thermodynamically_conceivable
low,400,5.0,50.0,30.0,100000.0,100.0,619.0886713690613,0.8333333333333334,51797085.50454481,12500.0,500.0,False,transport_limited
low,400,5.0,50.0,30.0,100000.0,300.0,619.0886713690613,0.8333333333333334,51797085.50454481,12500.0,166.66666666666666,False,transport_limited
