delta_max,sigma_h_km,duration_s,target_dv_ms,target_a_drop_km,protected_dv_ms,protected_a_drop_km,selectivity,on_pareto_front
5.0,400.0,86400.0,0.007455221040455933,0.11876702307199594,2.6637865813031136e-05,0.006640466817771085,279.8730608819596,False
10.0,50.0,14400.0,0.0024760428254173897,0.1099481199598813,5.461344554391118e-84,0.006593371453163854,4.533760506698963e+80,True
10.0,50.0,43200.0,0.007439941350221203,0.118740134208565,1.6145736386048882e-83,0.006593371453163854,4.607991343553625e+80,False
10.0,50.0,86400.0,0.014905230096934851,0.1319622851888198,3.1951777623552703e-83,0.006593371453163854,4.6649141943037677e+80,True
10.0,100.0,14400.0,0.0024760428254179435,0.1099481199598813,2.0654927994684005e-24,0.006593371453163854,1.1987661375799553e+21,False
10.0,100.0,43200.0,0.007440023872029099,0.11874028037891549,6.1926006370206586e-24,0.006593371453163854,1.2014377009153607e+21,False
10.0,100.0,86400.0,0.014910146621163488,0.1319709930630779,1.2365846887300554e-23,0.006593371453163854,1.2057521621487866e+21,False
10.0,200.0,14400.0,0.0024760428254180823,0.1099481199598813,1.6578387646912382e-09,0.006593374384465278,1493536.571923042,False
10.0,200.0,43200.0,0.007440044502806583,0.11874031691968412,4.985087698435541e-09,0.006593380267077009,1492460.1035888446,False
10.0,200.0,86400.0,0.014911376654136,0.13197317162575928,9.980669393284894e-09,0.006593389099180058,1494025.7077514802,False
10.0,400.0,14400.0,0.0024760428254181157,0.1099481199598813,8.8374116173756e-06,0.00660899589456676,280.1773791491013,False
10.0,400.0,43200.0,0.007440049660521301,0.11874032605282991,2.659225215213626e-05,0.006640386206527182,279.78260803019697,False
10.0,400.0,86400.0,0.014911684218789615,0.13197371637397737,5.327519861729339e-05,0.006687561244689277,279.8991764612438,False
20.0,50.0,14400.0,0.0049520856508347795,0.11433371369912493,1.0922689108782236e-83,0.006593371453163854,4.533760506698963e+80,True
20.0,50.0,43200.0,0.014880183273597324,0.13191828057370003,3.2291472772097763e-83,0.006593371453163854,4.608084424831471e+80,False
20.0,50.0,86400.0,0.02978145954724479,0.15831059593347163,6.3903555247105406e-83,0.006593371453163854,4.6603760044467607e+80,True
20.0,100.0,14400.0,0.004952085650835887,0.11433371369912493,4.130985598936801e-24,0.006593371453163854,1.1987661375799553e+21,False
20.0,100.0,43200.0,0.014880778281300872,0.13191933444613824,1.2385201274041317e-23,0.006593371453163854,1.2014966856041447e+21,False
20.0,100.0,86400.0,0.029816959229448544,0.15837347062642948,2.473169377460111e-23,0.006593371453163854,1.2056173548481298e+21,True
20.0,200.0,14400.0,0.004952085650836165,0.11433371369912493,3.3156775293824764e-09,0.006593377314857207,1493536.571923042,False
20.0,200.0,43200.0,0.014880927041687706,0.13191959792584385,9.970175370113851e-09,0.006593389079171175,1492544.1618904823,False
20.0,200.0,86400.0,0.029825857990637243,0.15838923152841744,1.9961338480205376e-08,0.0065934067433772725,1494181.26546043,True
20.0,400.0,14400.0,0.004952085650836231,0.11433371369912493,1.76748232347512e-05,0.006624620332331688,280.1773791491013,False
20.0,400.0,43200.0,0.014880964232313255,0.1319196637978166,5.318432242102075e-05,0.006687400658847764,279.7998273722794,False
20.0,400.0,86400.0,0.029828084174923886,0.1583931743989524,0.0001065482652729584,0.00678174726999714,279.94903622794277,True
